          MJD                     X              XE                 O                    OE                
   54269.3147615469715674     -3.1985893     34.9638100   23341.2745739088641130     865.8387383977651552
   54269.3147621215975960     77.4153595     53.3584175   22177.8634225466339558     836.5877143972845715
   54269.3147626957434113     16.9548950     40.3563004   20032.4506971854243602     782.3630987353939190
   54269.3147632698965026     -3.1985893     34.9638100   23545.4409371902329440     866.6683872518098042
   54269.3147638445225311     77.4153595     53.3584175   27153.8753224595238862     940.4000937190231753
   54269.3147644186828984    -43.5055695     20.2519569   27244.8704767054150579     929.2348610735634793
   54269.3147649928214378     37.1083908     45.1086960   27525.8582175362716953     951.0259661770448929
   54269.3147655674401904     16.9548950     40.3563004   27332.9742789342453761     949.4350304887207130
   54269.3147661416005576     97.5688477     57.0375633   23907.7630254423129372     871.4451929951037528
   54269.3147667157463729     37.1083908     45.1086960   22889.4583737346438284     860.7730281457451156
   54269.3147672903724015     -3.1985893     34.9638100   25011.6787648313365935     890.2559754888708312
   54269.3147678645327687    137.8758392     63.7621346   23437.2133249226535554     865.7025526418551635
   54269.3147684386713081     37.1083908     45.1086960   22648.3860550899626105     833.3580895737586616
   54269.3147690132973366    -23.3520813     28.5710506   22142.7193463698895357     829.1414063861103614
   54269.3147695874431520     77.4153595     53.3584175   23431.1993127271634876     868.4857865489170763
   54269.3147701620691805     16.9548950     40.3563004   21626.3386404734010284     816.4811294343816144
   54269.3147707362368237     37.1083908     45.1086960   24019.2929308221428073     853.3130323510858943
   54269.3147713103826391     77.4153595     53.3584175   22119.6721948875056114     838.2041801087381145
   54269.3147718845430063    -23.3520813     28.5710506   22684.3446312817286525     849.1829359286293766
   54269.3147724591472070     16.9548950     40.3563004   19757.5298741401566076     788.5422102069628636
   54269.3147730333075742     57.2618790     49.4060478   18814.6698242768325144     790.1818221140848664
   54269.3147736079190508     16.9548950     40.3563004   15621.0041921239971998     696.1962716650145921
   54269.3147741820794181     -3.1985893     34.9638100   16271.0982403652633366     721.2690613078609658
   54269.3147747562325094     37.1083908     45.1086960   15422.8862911898104358     704.8853227599050797
   54269.3147753308585379     -3.1985893     34.9638100   16061.2586753176528873     723.1232176864617713
   54269.3147759049970773     16.9548950     40.3563004   17677.8037451563468494     758.8809371902316343
   54269.3147764796303818    -43.5055695     20.2519569   19699.1356366585569049     795.6228698447027909
