MJD,X,XE,O,OE
54269.3147425943 ,97.5688477000 ,57.0375633000 ,17271.1467724009 ,737.7557658226 
54269.3147431684 ,77.4153595000 ,53.3584175000 ,16108.7383665254 ,716.7426343456 
54269.3147437430 ,37.1083908000 ,45.1086960000 ,16220.7013595265 ,747.2197915352 
54269.3147443172 ,77.4153595000 ,53.3584175000 ,18271.0476609293 ,790.8503703704 
54269.3147448918 ,16.9548950000 ,40.3563004000 ,16641.7461920639 ,746.4177489412 
54269.3147454659 ,77.4153595000 ,53.3584175000 ,16658.6845934336 ,732.7523426752 
54269.3147460401 ,37.1083908000 ,45.1086960000 ,16205.5666696704 ,721.5089051095 
54269.3147466147 ,37.1083908000 ,45.1086960000 ,18111.5299246042 ,760.1658970893 
54269.3147471889 ,117.7223358000 ,60.4933624000 ,18831.1210020726 ,783.6911213241 
54269.3147477635 ,97.5688477000 ,57.0375633000 ,21783.1089772010 ,838.9169445195 
54269.3147483377 ,77.4153595000 ,53.3584175000 ,19863.1724946682 ,793.2861037518 
54269.3147489118 ,77.4153595000 ,53.3584175000 ,19365.0823585954 ,786.2678850140 
54269.3147494864 ,77.4153595000 ,53.3584175000 ,19870.7995121804 ,790.2111201226 
54269.3147500606 ,97.5688477000 ,57.0375633000 ,20936.2602697425 ,815.0638286624 
54269.3147506347 ,57.2618790000 ,49.4060478000 ,19028.0762103871 ,792.0452831095 
54269.3147512093 ,77.4153595000 ,53.3584175000 ,21014.7032651467 ,816.6745270494 
54269.3147517835 ,-3.1985893000 ,34.9638100000 ,20387.9258177885 ,802.0979604097 
54269.3147523577 ,137.8758392000 ,63.7621346000 ,20602.0679607101 ,809.6438508906 
54269.3147529323 ,77.4153595000 ,53.3584175000 ,23263.6559214202 ,852.2802967769 
54269.3147535064 ,37.1083908000 ,45.1086960000 ,26318.5132798654 ,925.3214622571 
54269.3147540806 ,57.2618790000 ,49.4060478000 ,23089.1093064191 ,853.0766489442 
54269.3147546552 ,117.7223358000 ,60.4933624000 ,23512.0907296266 ,868.8182920309 
54269.3147552294 ,218.4897766000 ,75.4338226000 ,24411.2396888047 ,871.8159935118 
54269.3147558040 ,97.5688477000 ,57.0375633000 ,25189.3135898591 ,904.4701234568 
54269.3147563781 ,117.7223358000 ,60.4933624000 ,26421.9055672704 ,911.0106539305 
