1.000000000000000021e-02 1.295634746384193958e+00 2.557563682379137004e-01
1.623776739188721729e-02 1.237155074050067416e+00 1.064407475376301232e-01
2.636650898730358294e-02 1.228754040249216528e+00 2.586909637368594583e-01
4.281332398719393806e-02 1.157231431408118238e+00 1.080496026845992191e-01
6.951927961775605791e-02 1.160804848253026877e+00 1.441940412211428768e-01
1.128837891684688899e-01 1.245423604036810072e+00 1.274980404993459882e-01
1.832980710832435578e-01 1.273995463195809252e+00 2.737941420837152195e-01
2.976351441631317485e-01 1.184687400178727756e+00 3.727477288637303099e-01
4.832930238571752080e-01 1.335629584762531907e+00 2.724856074509180992e-01
7.847599703514610558e-01 1.375605356474678187e+00 3.703241782316667452e-01
1.274274985703133467e+00 1.318986577957790285e+00 2.432334716113964679e-01
2.069138081114790140e+00 1.440914361372199748e+00 2.314517333708357161e-01
3.359818286283780875e+00 1.600481756625784069e+00 3.016340114963090291e-01
5.455594781168514373e+00 1.894001256571756331e+00 3.403242260015360010e-01
8.858667904100823165e+00 2.404221094887627252e+00 2.913542019444392284e-01
1.438449888287662937e+01 3.137452981768215299e+00 2.569079912568841273e-01
2.335721469090121261e+01 3.880148175427172497e+00 4.131759905689022516e-01
3.792690190732245981e+01 4.069149079484596143e+00 2.882922283137475117e-01
6.158482110660260389e+01 4.031633073682426627e+00 6.221104396860996921e-01
1.000000000000000000e+02 4.054131120070080030e+00 4.528879566247752675e-01
